Map,Status,WADs,Custom Textures,Textures Left
ctf2m8,Completed,metal.wad,blueflag ctf1_1 ctf1_2 ctf1_3 redflag sky4,,
ctfstart,Completed,quake101.wad,ctfbbs3 ctfbflg ctfbfm ctfrflg ctfrfm,,
ctf1bsp0,Completed,(field removed),#02owat afloor3_1 ASHWALL2 blueflag bwood2 ctf1_2 ctf1_3 ctfbb5 ctfbflg ctfbr5 ctfflag_b6 ctfflag_r5 ctfflag_r6 ctfrflg ctftex_r1_1 ctftex_r3 metal1r6 metal2r8 metal5r8 rwood2,,
ctf1bsp1,WIP,wizard.wad,bwood2 ctf07 ctf08 hskl07_1 maya2_2 metal5r8 rwood2 sky5 wiz1_2 wiz1_3 wood3_1,ctf07 ctf08 hskl07_1 maya2_2 sky5 wiz1_2 wiz1_3 wood3_1,
ctf1bsp2,WIP,quakectf.wad,ctfmet_b05 ctfmet_b06 ctfmet_b09 ctfmet_r05 ctfmet_r06 ctfmet_r08 ctfmet_r09 ctfmet_r10 ctftex_b3 ctftex_b6 ctftex_r3 ctftex_r6 sky2 UnNamed1,ctfmet_b05 ctfmet_b06 ctfmet_b09 ctfmet_r05 ctfmet_r06 ctfmet_r09 ctfmet_r10,
ctf1bsp3,WIP,bumble.wad,c-black cliff2_2 cop1_1b cop1_1r crate_side_b crate_side_r crate_top_b crate_top_r ctf1_1 ctftex_r1_1 ecop1_2 met5_1b met5_1r metal5_1b metal5_1r metal7_1 metal7_3 metal8_1 mmetal1_2b mmetal1_2r plat_stem3 plat_top5 wizwood1_5b wizwood1_5r,cliff2_2 crate_side_b crate_side_r crate_top_b crate_top_r ecop1_2 met5_1b met5_1r metal5_1b metal5_1r metal7_1 metal7_3 metal8_1 mmetal1_2b mmetal1_2r plat_stem3 plat_top5 wizwood1_5b wizwood1_5r,
ctf1bsp4,WIP,dm6.wad tctf8tw.wad,church1 churchbricks churchwindow churchwindowbig city17small cliff2_8 dung013blue dung013red edlog hskl10_1 hskl10blend hskl10blueflg hskl10flat hskl10redflg hskl11_1 hskl11blue hskldave1blue hskldave1red hsklsmall hsklsmallblue hsklsmallred plat_stem5 plat_top5 wood3_1,church1 churchbricks churchwindow churchwindowbig city17small cliff2_8 dung013blue dung013red edlog hskl10_1 hskl10blend hskl10blueflg hskl10flat hskl10redflg hskl11_1 hskl11blue hskldave1blue hskldave1red hsklsmall hsklsmallblue hsklsmallred plat_stem5 plat_top5 wood3_1,
ctf1bsp5,Completed,qandctf.wad ctfflags.wad,bwood2 ctf1_2 ctftex_r3 metal2r8 rwood2 sky4,,
ctf1bsp6,Completed,(field removed),ctf1_1 ctf1_2 ctfbb5 ctfbflg ctfbfm ctfbr5 ctfmet_r03 ctfmet_r08 ctfrflg ctfrfm ctftex_r3 metal2r8 redflag,,
ctf1bsp7,WIP,textures.wad ctf4.wad hipnotic.wad rogue.wad,#lava2 adoor10_3 altar1_5 blueflag ceiling1_2 city1_6 ctf1_1 ctf1_2 ctfrfm ctftex_r3 maya2_9 metal1_8 metal5r8 metal8_1 metal8_3 metal8_7 plat_side3 plat_stem3 plat_top3 platbut1,#lava2 adoor10_3 altar1_5 ceiling1_2 city1_6 maya2_9 metal1_8 metal8_1 metal8_3 metal8_7 plat_side3 plat_stem3 plat_top3 platbut1,
ctf1bsp8,Completed,reg.wad,ctfbfm ctfrfm sky4,,
ctf1bsp9,WIP,quake.wad,#lava2 altar1_5 blueflag ceiling1_2 ctfrfm ecop1_2 elwall1_3 elwall1_7 light3_1 light3_4 metal1r6 metal6_4 metal8_9 rock1_1 tlightb tlightr wiz1_5 wiz1_8,#lava2 altar1_5 ceiling1_2 ecop1_2 elwall1_3 elwall1_7 light3_1 light3_4 metal8_9 rock1_1 wiz1_5 wiz1_8,
ctf1bspx,WIP,purg.wad quake101.wad,#lavagray #water_gray +0basebtngray +0butngray +1basebtngray +1butngray +2butngray +3butngray +abasebtngray +abutngray Arrow-gray_b Arrow-gray_R ctf-blue ctf-red grayaz1_6 grayazfloor1_1 grayblaemetal1_ graycity4_6 graycolumn1_4 graycop1_1 graycop1_2 graycop1_3 graycop1_6 graycop3_4 graycrate0_top grayctfbfm grayctfrfm graydoor03_5 graydr01_1 graydr03_1 grayecop1_1 grayecop1_6 grayecop1_8 grayfloor01_5 grayfloor1-3 graygrave03_4 graylgmetal2 graylgmetal3 graylight1_5 graylight1_7 graymetal1_1 graymetal1_2 graymetal1_3 graymetal1_7 graymetal2_2 graymetal2_6 graymetal4_4 graymetal5_1 graymmetal1_1 graymmetal1_2 graymmetal1_3 graymmetal1_7 graynmetal2_1 grayplatside1 grayqtex00 grayrock5-2 grayrockz graytech0 graytech04_6 graytech07_1 graytech07_2 graytele_top graytlight01_2 graytlight05 graytlight07 graytlight08 graywall16_7 graywizmet1_4 graywizmet1_6 graywizmet1_7 graywizmet1_8 graywizwood1_3 graywmet3_1 graywmet4_4 sky1_109,#lavagray #water_gray +0basebtngray +0butngray +1basebtngray +1butngray +2butngray +3butngray +abasebtngray +abutngray Arrow-gray_b Arrow-gray_R ctf-blue ctf-red grayaz1_6 grayazfloor1_1 grayblaemetal1_ graycity4_6 graycolumn1_4 graycop1_1 graycop1_2 graycop1_3 graycop1_6 graycop3_4 graycrate0_top grayctfbfm grayctfrfm graydoor03_5 graydr01_1 graydr03_1 grayecop1_1 grayecop1_6 grayecop1_8 grayfloor01_5 grayfloor1-3 graygrave03_4 graylgmetal2 graylgmetal3 graylight1_5 graylight1_7 graymetal1_1 graymetal1_2 graymetal1_3 graymetal1_7 graymetal2_2 graymetal2_6 graymetal4_4 graymetal5_1 graymmetal1_1 graymmetal1_2 graymmetal1_3 graymmetal1_7 graynmetal2_1 grayplatside1 grayqtex00 grayrock5-2 grayrockz graytech0 graytech04_6 graytech07_1 graytech07_2 graytele_top graytlight01_2 graytlight05 graytlight07 graytlight08 graywall16_7 graywizmet1_4 graywizmet1_6 graywizmet1_7 graywizmet1_8 graywizwood1_3 graywmet3_1 graywmet4_4 sky1_109,
expctf1,WIP,(field removed),arrow_b arrow_r city68arch city68128blue city68128red cop12blue cop12red ctftex_r3 hex_rtex008 logo96blue logo96red metal9_3 sky4 stone5_0 stone50met77 stone50rtex21 window12s window14s wood3_1,arrow_b arrow_r city68arch city68128blue city68128red cop12blue cop12red hex_rtex008 logo96blue logo96red metal9_3 stone5_0 stone50met77 stone50rtex21 window12s window14s wood3_1,
expctf2,WIP,(field removed),cratesideb cratesider cratetop ctfbtdr sfloor4_2b sfloor4_2r switch_2 tech03_1r tech05_2b tech05_2r tech08_2b tech08_2r,cratesideb cratesider cratetop switch_2,
twctf1,WIP,(field removed),basebutn1 column1_4b column1_4r cop1_1b cop1_1r crate_side_b crate_side_r crate_top_b crate_top_r ctfbbs3 ctfrbs3 ctftex_r3 egypt14 htek18_1 metal7_1 metal8_5 sfloor4_2b sfloor4_2r tech02_1b tech02_1r,basebutn1 egypt14 htek18_1 metal7_1 metal8_5,
twctf2,WIP,ctf.wad,ctfbfm ctfrfr1 qtex00 sky4,qtex00,
twctf3,Completed,TEXTURES.wad,sky4,,
twctf4,Completed,(field removed),ctfbfm ctfrfm,,
twctf5,WIP,(field removed),+0tatteyes +1tatteyes +2tatteyes +3tatteyes +4tatteyes +5tatteyes church1 churchbricks churchwindow churchwindowbig city17small cliff2_8 dung013blue dung013red edlog hskl10_1 hskl10blend hskl10blueflg hskl10closed hskl10flat hskl10redflg hskl11_1 hskl11blue hskl101tattoo hskldave1blue hskldave1red hsklsmall hsklsmallblue hsklsmallred plat_stem5 plat_top5 wood3_1,+0tatteyes +1tatteyes +2tatteyes +3tatteyes +4tatteyes +5tatteyes church1 churchbricks churchwindow churchwindowbig city17small cliff2_8 dung013blue dung013red edlog hskl10_1 hskl10blend hskl10blueflg hskl10closed hskl10flat hskl10redflg hskl11_1 hskl11blue hskl101tattoo hskldave1blue hskldave1red hsklsmall hsklsmallblue hsklsmallred plat_stem5 plat_top5 wood3_1,
twctf6,WIP,(field removed),BARROW blueflg1 bwood2 c-blue c-red ctfbfm ctfrfm kmetal1_6 RARROW redflg1 rwood2,kmetal1_6,
twctf7,WIP,(field removed),bwood2 cliff2_8 ctfbfm ctfrfm rwood2,cliff2_8,
twctf8,WIP,(field removed),#lava1_1 city2_8_1_grey city2_8b_1_grey city2_8r_1_grey ctfbbs3_1_grey ctfrbs3_1_grey ctftex_r3 sky_tele_1_blue strng1_3,#lava1_1 strng1_3,
twctf9,Completed,(field removed),sky4,,
twctf2m1,WIP,(field removed),caution2 ctf1_1 ctf1_2 ctfbbs3 ctfrbs3,caution2,
twctf2m2,WIP,(field removed),#02owat #04mwat2 bwood2 ctf07 ctf08 ctftex_r3 egypt01 egypt02 egypt03 egypt04 egypt05 egypt06 maya1_4 maya1_9 maya2_1 maya2_2 rome08 rome12 rwood2 sky6 wbrick1_2, ctf07 ctf08 egypt01 egypt02 egypt03 egypt04 egypt05 egypt06 maya1_4 maya1_9 maya2_1 maya2_2 rome08 rome12 sky6 wbrick1_2,
twctf2m3,WIP,(field removed),#04mwat2 ctfbbs3 ctfbt1 ctfrbs3 ctfrt1 sky5 tlightb,sky5,
twctf2m4,Completed,(field removed),blueflag ctf1_1 ctf1_2 ctf1_3 redflag sky2,,
twctf2m5,Completed,cztex2.wad base.wad ctf3.wad,bwood2 c-blue c-red ctfbfm ctfrfm rwood2,,
twctf2m6,Completed,quake101.wad ctf.wad,cop1_1b cop1_1r ctf1_1 ctf1_2 ctfbfm ctfrfm,,
twctf2m7,Completed,qrctf.wad,#04mwat2 bwood2 ctf1_1 ctf1_2 ctfflag_b5 ctfflag_r5 ctfmet_r01 ctfmet_r03 ctfmet_r04 ctfmet_r08 ctftex_r3 rwood2 sky2,,
twctf2m8,WIP,ROBS.WAD,BARROW c-blue c-red caution2 ctf1_1 ctf1_2 newdoor unnamed1,caution2 newdoor unnamed1,
twctf2m9,Completed,ctftxtr.wad textures.wad,#04mwat2 blueflg1 bwood2 redflg1 rwood2,,
twctf2ma,WIP,(field removed),#04mwat2 #lava2 +0dem5 +1dem5 +2dem5 +3dem5 BARROW bwood2 c-blue c-red clock1 ctf1_3 ctf07 ctf08 RARROW rwood2 window2_1 window2_2 window2_3 window2_4,#lava2 +0dem5 +1dem5 +2dem5 +3dem5 clock1 ctf07 ctf08 window2_1 window2_2 window2_3 window2_4,
twctf2mb,WIP,comb50.wad,+0ModFanA +1ModFanA +2ModFanA city2_8b city6_4r ctfbflg ctfrflg ctftex_r3 sky5,+0ModFanA +1ModFanA +2ModFanA sky5,
twctf2mc,WIP,test.wad,brock4_2_1 bwswamp2_1_1 city2_0 city2_1r city2_5b emetal1_3b emetal1_3r light1_7 rock4_2b rock4_2r rrock4_2 rwswamp2_1_1,city2_0 light1_7,
twstart,Completed,(field removed),bwood2 ctfbbs3 ctfbflg ctfbfm ctfrflg ctfrfm RARROW rwood2,,
xeno1,Completed,quake101.wad,sky4,,
xeno2,WIP,(field removed),#water3 adoor1_b adoor1_b2 adoor1_r adoor1_r2 Light1_5a light1_45 sky2 wall11_2b wall11_2r2,#water3 Light1_5a light1_45 wall11_2b wall11_2r2,
xeno3,WIP,all.wad ctf3.wad ctf3a.wad ctf4.wad medieval.wad,#02owat #04mwat2 adoor10_4 BARROW bwood2 ctf1_3 ctf03 ctfbflg ctfbfm ctfrflg ctfrfm demc4_3 demc4_4 RARROW rwood2 sky2 tomb1_1 wood1_2 wood3_6 wswamp2_8,adoor10_4 ctf03 demc4_3 demc4_4 tomb1_1 wood1_2 wood3_6 wswamp2_8,
xeno4,WIP,ARMAGON.WAD,UnNamed0 church1 ctf01 ctf1_1 ctf1_2 ctf02 ctf07 ctf08 ctfrune wizctf1,UnNamed0 church1 ctf01 ctf02 ctf07 ctf08 wizctf1,
xeno5,WIP,(field removed),cop1_2b cop1_2r ctfbb5 ctfbr5 edoor01_1b edoor01_1r meat1_2 METAL2 metal8_1 mmetal1_4 muscle_r musclite sky2 sym08_2 tech1_1b tech1_1r tech1_2b tech1_2r tech1_3b tech1_3r tech1_4b tech1_4r tech10_1b tech10_1r tlightb wizmet1_3b wizmet1_3r,meat1_2 metal8_1 mmetal1_4 muscle_r musclite,
xeno6,WIP,rogue.wad,city4_4 ctf01 ctf02 ctf05 ctf06 ctf07 ctf08 maya1_7 maya1_9 maya2_8 plat_stem5 plat_top5 wood1_3 wswamp1_8,city4_4 ctf01 ctf02 ctf05 ctf06 ctf07 ctf08 maya1_7 maya1_9 maya2_8 plat_stem5 plat_top5 wood1_3 wswamp1_8,
xeno7,WIP,bumble.wad,crate_side_b crateZ_side crateZ_top ctf1_3 ctfbbs3 ctfrbs3 tlight02d twall5_2b twall5_2r,crateZ_side crateZ_top,
xeno8,WIP,xfa.wad,adoor10_3 alight01 arch4 city4_4 ctf01 ctf02 ctf07 ctf08 electro2 metal1_8 metal8_1 metal8_8 plat_side3 plat_stem3 plat_top3 rome01 rome02 rome07 rome08 rome09 rome11 rome19 sym06_1 tech01_4 tech10_2 tech12_2 twall2_4 wood1_4,adoor10_3 alight01 arch4 city4_4 ctf01 ctf02 ctf07 ctf08 electro2 metal1_8 metal8_1 metal8_8 plat_side3 plat_stem3 plat_top3 rome01 rome02 rome07 rome08 rome09 rome11 rome19 sym06_1 tech01_4 tech10_2 tech12_2 twall2_4 wood1_4,
